"","year","value","variable","culture","state","chirps","double.fallow","double.single","onset","single.double","soil.lower","vpd"
"1",1988,28,"planted_area","soy","to",1795.07,NA,NA,67.88,NA,-1,150
"2",1989,59,"planted_area","soy","to",1745.38,NA,NA,56.56,NA,0,146
"3",1990,34.2,"planted_area","soy","to",1547.41,NA,NA,53.96,NA,0,143
"4",1991,3.9,"planted_area","soy","to",1506.22,NA,NA,87.93,NA,-1,158
"5",1992,12,"planted_area","soy","to",1531.46,NA,NA,82.04,NA,-1,155
"6",1993,15.5,"planted_area","soy","to",1694.05,NA,NA,72.26,NA,0,150
"7",1994,22.7,"planted_area","soy","to",1693.64,NA,NA,72.26,NA,-1,151
"8",1995,16.6,"planted_area","soy","to",1600.18,NA,NA,76.69,NA,-1,155
"9",1996,4.9,"planted_area","soy","to",1861.65,NA,NA,76.61,NA,0,141
"10",1997,21.9,"planted_area","soy","to",1309.01,NA,NA,56.47,NA,0,165
"11",1998,40.1,"planted_area","soy","to",1485.1,NA,NA,115.99,NA,-1,151
"12",1999,40.1,"planted_area","soy","to",1802.67,NA,NA,87.88,NA,-1,143
"13",2000,56.5,"planted_area","soy","to",1552.2,NA,NA,60.64,NA,0,143
"14",2001,66,"planted_area","soy","to",1689.77,NA,NA,64.25,NA,0,151
"15",2002,105,"planted_area","soy","to",1561.11,NA,NA,54.94,NA,0,143
"16",2003,148.1,"planted_area","soy","to",1736.65,18.46,14.24,89.66,3.75,-1,136
"17",2004,243.6,"planted_area","soy","to",1634.92,33.2,24.19,70.49,4.69,-1,140
"18",2005,355.7,"planted_area","soy","to",1705.45,24.31,29.59,68.77,11.62,-1,140
"19",2006,309.5,"planted_area","soy","to",1521.44,27.52,34.88,76.05,13.29,-1,136
"20",2007,267.7,"planted_area","soy","to",1581.94,75.93,35.63,64.74,11.73,-1,139
"21",2008,331.6,"planted_area","soy","to",1804.5,59.71,81.25,79.9,12.67,-1,153
"22",2009,311.4,"planted_area","soy","to",1538.35,163.81,28.1,72.02,22.24,0,155
"23",2010,364.3,"planted_area","soy","to",1715.79,86.39,178.01,57.65,22.41,0,143
"24",2011,404.7,"planted_area","soy","to",1651.77,13.41,27.94,58.45,47.73,-1,145
"25",2012,451.2,"planted_area","soy","to",1549.35,187.66,81.98,48.82,57.87,0,149
"26",2013,549.6,"planted_area","soy","to",1842.47,40.95,86.54,65.71,155.22,-1,167
"27",2014,748.4,"planted_area","soy","to",1763.91,170.17,33.17,62.1,169.91,-1,158
"28",2015,849.6,"planted_area","soy","to",1208.93,478.74,67.68,64.66,255.91,0,236
"29",2016,870.8,"planted_area","soy","to",1590.99,645.4,84.1,155.33,345.94,-2,169
"30",2017,964,"planted_area","soy","to",1671.63,NA,NA,NA,NA,-1,283
"31",2018,988.1,"planted_area","soy","to",NA,NA,NA,NA,NA,NA,NA
"32",1985,10,"planted_area","soy","ma",1582.15,NA,NA,124.24,NA,-1,164
"33",1986,8.7,"planted_area","soy","ma",1076.73,NA,NA,87.38,NA,0,167
"34",1987,8.5,"planted_area","soy","ma",1275.11,NA,NA,208.01,NA,-1,176
"35",1988,16.2,"planted_area","soy","ma",1370.91,NA,NA,139.59,NA,-1,171
"36",1989,21.9,"planted_area","soy","ma",1180.68,NA,NA,129.78,NA,-1,166
"37",1990,16,"planted_area","soy","ma",1160.17,NA,NA,182.06,NA,0,169
"38",1991,4.6,"planted_area","soy","ma",1026.05,NA,NA,166.06,NA,-1,190
"39",1992,21.1,"planted_area","soy","ma",954.25,NA,NA,188.68,NA,-1,203
"40",1993,42.7,"planted_area","soy","ma",1433.2,NA,NA,130.32,NA,-1,180
"41",1994,62.8,"planted_area","soy","ma",1359.94,NA,NA,130.32,NA,-1,176
"42",1995,91.7,"planted_area","soy","ma",1411.29,NA,NA,116.96,NA,-1,172
